price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement
3792775.294162519,7,3.0,9578,5214,1,7087,2491
2991675.1323389285,4,3.0,7473,10743,3,1861,5612
2585337.812471579,5,4.0,4308,12447,3,4027,281
3590495.5681199622,7,2.0,8065,10730,4,4700,3365
3186338.69823589,3,3.0,8361,10707,3,2454,5907
1778990.3032543894,5,2.0,2460,5601,3,3343,0
2135171.9880140023,5,4.0,3247,12898,4,3216,31
1641569.207193575,7,2.0,543,2778,4,4834,0
2756494.760029883,2,5.0,4342,9628,2,7463,0
2616875.3977377783,3,4.0,5205,9994,4,5217,0
2163695.162013979,7,5.0,2388,8272,1,4785,0
2480105.0971438647,3,3.0,4398,5198,4,6187,0
2633606.3641509167,3,2.0,6383,8375,2,2805,3578
3338712.0594830145,5,5.0,9411,6780,2,1605,7806
1014722.2466616175,4,1.0,1190,5800,4,692,498
2999254.47422922,3,1.0,7342,1824,1,7986,0
3480524.4993138127,6,2.0,8801,4805,2,6641,2160
3222301.7354357773,5,5.0,5058,14358,1,7215,0
3491893.6661795587,2,4.0,9206,9495,2,6581,2625
2993306.216650841,4,3.0,8220,7310,3,3936,4284
3289639.813521498,6,4.0,9328,9685,2,897,8431
2061637.870441858,6,3.0,3828,9278,2,1295,2533
2551173.696867589,2,4.0,5812,4297,2,6687,0
1446180.6550302499,4,3.0,1126,7045,2,3436,0
1866857.474831942,5,4.0,569,12511,2,4015,0
3240971.00032004,1,2.0,8049,12768,4,3015,5034
2727373.750399871,4,2.0,6113,8089,4,4885,1228
2746148.86441744,2,3.0,4819,7496,1,7125,0
3028019.992675944,6,3.0,6461,6864,3,5985,476
2119991.9410344018,5,4.0,4477,7493,4,666,3811
2715971.7993204813,4,2.0,8000,6634,3,759,7241
2933072.1246950836,1,2.0,8559,14305,1,1246,7313
2914592.8924316326,1,3.0,7284,4820,1,6799,485
2414998.2304720376,3,3.0,2134,7913,2,6426,0
1533402.9666075339,3,2.0,3043,2049,4,3252,0
3161602.778457975,7,3.0,7853,4601,2,4768,3085
1875824.1585951664,2,2.0,1268,7465,2,5435,0
2829833.576386569,4,3.0,6264,7439,1,6960,0
2210891.59791048,4,2.0,3103,13418,2,4911,0
1715711.4214053887,7,5.0,1491,5865,1,2947,0
2125617.536972486,6,4.0,988,8749,4,4707,0
3231150.672043462,6,2.0,8679,3983,4,5152,3527
2280929.1942533343,7,4.0,4652,7328,2,2322,2330
1498529.4773603932,6,4.0,1011,12312,1,1146,0
3169406.5770211155,3,3.0,6197,14111,4,4586,1611
1389055.940917694,4,4.0,1234,9719,3,1830,0
2678127.401463454,7,2.0,6178,8173,4,1912,4266
2324918.6020658254,4,4.0,3809,1033,1,5813,0
2847555.112422942,1,3.0,9062,6186,2,1308,7754
2636129.422853509,3,2.0,5201,7398,1,6248,0
